city,temperature,humidity,weather_main,api_timestamp,ingestion_time
Hyderabad,28.13,22,Clear,2026-03-03 15:07:49,2026-03-03 15:13:06.198985
Delhi,28.69,12,Clear,2026-03-03 15:05:45,2026-03-03 15:13:07.487036
Mumbai,28.19,58,Clear,2026-03-03 15:02:22,2026-03-03 15:13:08.626383
Bangalore,25.86,32,Clear,2026-03-03 15:09:44,2026-03-03 15:13:09.906093
